Graph_ID,Vertices,Edges,Density,Prim_Cost,Prim_Edges,Prim_Operations,Prim_Time_ms,Kruskal_Cost,Kruskal_Edges,Kruskal_Operations,Kruskal_Time_ms,Cost_Match,Time_Difference_ms,Operation_Difference,Kruskal_Faster
1,5,4,0.40,176.00,4,17,0.266,176.00,4,16,2.090,true,-1.824,1,false
2,10,22,0.49,199.00,9,77,0.063,199.00,9,173,0.037,true,0.026,-96,true
3,15,42,0.40,354.00,14,143,0.132,354.00,14,378,0.147,true,-0.014,-235,false
4,20,114,0.60,141.00,19,325,0.126,141.00,19,1187,0.144,true,-0.018,-862,false
5,30,217,0.50,335.00,29,591,0.339,335.00,29,2447,0.274,true,0.065,-1856,true
6,50,245,0.20,760.00,49,739,0.206,760.00,49,2807,0.195,true,0.011,-2068,true
7,75,832,0.30,500.00,74,2129,0.469,500.00,74,11069,0.578,true,-0.109,-8940,false
8,100,1237,0.25,582.00,99,3141,0.629,582.00,99,17241,0.749,true,-0.120,-14100,false
9,125,2712,0.35,429.00,124,6365,1.079,429.00,124,39920,1.488,true,-0.409,-33555,false
10,150,3352,0.30,455.00,149,7839,1.128,455.00,149,49603,1.414,true,-0.286,-41764,false
11,175,6090,0.40,403.00,174,13663,1.932,403.00,174,92050,2.163,true,-0.231,-78387,false
12,200,6965,0.35,415.00,199,15573,2.292,415.00,199,105490,2.256,true,0.036,-89917,true
13,225,7560,0.30,561.00,224,17071,3.352,561.00,224,114401,2.456,true,0.896,-97330,true
14,275,9418,0.25,668.00,274,21169,1.739,668.00,274,143756,2.790,true,-1.051,-122587,false
15,300,17940,0.40,489.00,299,38795,4.693,489.00,299,276535,6.528,true,-1.836,-237740,false
16,350,9161,0.15,946.00,349,21207,1.893,946.00,349,139752,2.769,true,-0.875,-118545,false
17,400,15960,0.20,850.00,399,35423,3.116,850.00,399,245008,5.384,true,-2.268,-209585,false
18,450,18184,0.18,883.00,449,40361,5.153,883.00,449,280482,6.689,true,-1.536,-240121,false
19,500,27445,0.22,800.00,499,59469,6.894,800.00,499,424590,13.396,true,-6.501,-365121,false
20,600,35940,0.20,955.00,599,77591,9.710,955.00,599,557190,16.974,true,-7.265,-479599,false
21,700,61162,0.25,884.00,699,129333,18.359,884.00,699,950799,27.153,true,-8.795,-821466,false
22,800,63920,0.20,1052.00,799,135809,13.795,1052.00,799,991363,29.127,true,-15.333,-855554,false
23,900,72819,0.18,1166.00,899,154501,15.736,1166.00,899,1134359,21.036,true,-5.300,-979858,false
24,950,67616,0.15,1306.00,949,144381,11.847,1306.00,949,1052502,14.978,true,-3.131,-908121,false
25,1000,149850,0.30,1053.00,999,309783,31.002,1053.00,999,2335634,38.985,true,-7.983,-2025851,false
26,1500,112425,0.10,2006.00,1499,239541,24.801,2006.00,1499,1749288,30.075,true,-5.275,-1509747,false
27,2000,239880,0.12,2228.00,1999,499907,53.400,2228.00,1999,3738479,70.387,true,-16.987,-3238572,false
28,2250,379518,0.15,2338.00,2249,782425,86.791,2338.00,2249,5931830,114.104,true,-27.313,-5149405,false
29,2750,377987,0.10,2964.00,2749,784175,95.589,2964.00,2749,5906931,123.220,true,-27.631,-5122756,false
30,3000,899700,0.20,3007.00,2999,1830627,223.744,3007.00,2999,14044124,276.557,true,-52.813,-12213497,false
